,title,calories,fat,protein,sodium
2,"Easy Green Curry with Chicken, Bell Pepper, and Sugar Snap Peas ",549.0,36.0,42.0,760.0
10,"Persian-Spiced Chicken with Spaghetti Squash, Pomegranate, and Pistachios ",704.0,44.0,49.0,1002.0
13,Istanbul-Style Wet Burger (Islak Burger) ,691.0,34.0,46.0,779.0
15,Pumpkin Spice Bundt Cake with Buttermilk Icing ,372.0,14.0,5.0,282.0
18,Pumpkin Cheesecake with Bourbonâ€“Sour Cream Topping ,429.0,32.0,6.0,316.0
24,"Kale Salad with Butternut Squash, Pomegranate, and Pumpkin Seeds ",162.0,5.0,8.0,539.0
26,Stuffed Sweet Potatoes with Beans and Guacamole ,733.0,34.0,23.0,1509.0
28,Slow Cooker Pork Shoulder with Zesty Basil Sauce ,470.0,45.0,8.0,289.0
29,Easy General Tso's Chicken ,699.0,35.0,50.0,1189.0
30,White Chicken Chili ,534.0,14.0,45.0,968.0
38,One-Pot Curried Cauliflower with Couscous and Chickpeas ,606.0,15.0,27.0,1365.0
48,Navy Bean and Escarole Stew with Feta and Olives ,461.0,23.0,21.0,407.0
49,"Butternut Squash, Kale, and Crunchy Pepitas Taco ",233.0,17.0,7.0,363.0
50,"Sheet-Pan Skirt Steak With Balsamic Vinaigrette, Broccolini, and White Beans ",820.0,56.0,45.0,977.0
75,"Summer Corn, Tomato, and Salmon Salad with Za'atar Dressing ",810.0,53.0,40.0,1372.0
77,"Curried Lentil, Tomato, and Coconut Soup ",437.0,28.0,13.0,667.0
92,"Sheet-Pan Cumin Chicken Thighs with Squash, Fennel, and Grapes ",497.0,30.0,29.0,1177.0
104,Curried Pumpkin Soup ,165.0,14.0,2.0,373.0
109,Persian Chicken with Turmeric and Lime ,563.0,23.0,40.0,813.0
113,Baked Feta and Greens with Lemony Yogurt ,577.0,38.0,23.0,839.0
